Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Tester,API Tester,Accenture,"Monterrey, N. L.",hace 21 días,"Use of work schemes and cutting-edge technologies.
Provide expertise in the planning, constructing and execution of test scripts.","$8,000 - $20,000 al mes",3.7
Tester,Junior QA Tester On Mobile,AMBER STUDIO,"Guadalajara, Jal.",hace 30+ días,"The professional environment to work on various platforms, from Android to iOS and Windows or Facebook.
Well-shaped training program to start your career in…","$15,000 - $20,000 al mes",3.5
Tester,Analista / QA Tester,Getecsa,"Monterrey, N. L.",hace 30+ días,"Experiencia en Análisis 2 años (Deseable).
2 + Años de experiencia en análisis y levantamiento de requerimientos.","$30,000 - $35,000 al mes",3.8
Tester,Tester,Involve,"Cuauhtémoc, CDMX",hace 1 día,2 años realizando pruebas en software (Funcionales y no funcionales).,"$10,000 - $15,000 al mes",4
Tester,Tester JR,Indra,"Miguel Hidalgo, CDMX",hace 30+ días,"Estamos buscando perfiles Jrs Y recien egresados , para formar parte de una de Academia (beca, trainee) colaborando con nosotros en uno de nuestros proyectos…","$20,000 - $25,000 al mes",4.1
Tester,Automation Tester Jr,CONTPAQi,"Guadalajara, Jal.",hace 16 días,"Somos una empresa Jalisciense con más de 35 años de experiencia y con presencia a nivel nacional.
Para lograr nuestra meta, es esencial contar con colaboradores…","$40,000 - $60,000 al mes",3.8
Tester,Tester Senior,HITSS,"Guadalajara, Jal.",hace 22 días,"Experiencia en la creacion y ejecucion de casos de prueba.
Pruebas manuales, de regression, funcionales, integracion y black box.","$45,000 - $50,000 al mes",3.9
Tester,Tester Automatizador,CECoaching,"Querétaro, Qro.",hace 14 días,"5 años realizando pruebas a sistemas.
Uso de metodologías de pruebas de proyectos de Tecnologías de Información.","$8,000 - $20,000 al mes",3.9
Tester,Manual Tester Senior - API,Softtek,"Guadalajara, Jal.",hace 2 días,"QA MANUAL/ FUNCIONAL TESTER- API.
Functional Testing (Analysis of requirements, Defect Tracking and TCs creation and execution).","$30,000 - $35,000 al mes",3.2
Tester,TESTER JR.,PRAXIS TI,"Cuauhtémoc, CDMX",hace 30+ días,"Experiencia de 1 año realizando pruebas de software.
Conocimientos en Testing (teóricos y prácticos).
Análisis de documentos (casos de uso, historias de usuario…","$15,000 - $20,000 al mes",3.7
Tester,Tester III - Software Testing,UST Global,"Silao, Gto.",hace 30+ días,"Develop proficiency of other testers on the project.
Reporting the test activities of a small team including multiple testers.
Identify log and track defects.","$45,000 - $50,000 al mes",3.7
