Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador Jr.,Analista Jr. de sistemas desarrollo web,Puerto de Liverpool,"Cuajimalpa, CDMX",hace 16 días,"Nuestra misión es servir al cliente en todo lugar, todos los días, toda la vida, nuestra visión es ser la mejor opción en servicio, surtido y valor.","$23,560 al mes",2.8
Desarrollador Jr.,Desarrollador Android Jr.,ProHiring,"Monterrey, N. L.•Remoto",hace 28 días,"Licenciatura y/o Ingeniería en Sistemas, Multimedia, y/o Ciencias Computacionales.
Experiencia comprobable en desarrollo de Java y Kotlin.","$20,500 - $25,500 al mes",3.8
Desarrollador Jr.,Desarrollador Web Jr,Serendipia Digital,"Puebla, Pue.",hace 8 días,"HTML 5, CSS (Bootstrap), JavaScript, WordPress, Vue.js, React, Sass, Responsive web desing, Git.
Deseable: *Experiencia en visualización de datos con d3.js y…","$8,000 al mes",3.9
Desarrollador Jr.,Desarrollador SharePoint Jr,XVR Solutions,"Benito Juárez, CDMX",Hoy,Días de maternidad superiores a los de la ley.,"$22,000 al mes",3.5
Desarrollador Jr.,Desarrollador iOS Jr.,ProHiring,"Monterrey, N. L.•Remoto",hace 14 días,"Licenciatura y/o Ingeniería en Sistemas, Multimedia, y/o Ciencias Computacionales.
Manejo de APIs de Datos y Geolocalización.","$20,500 - $25,500 al mes",5
Desarrollador Jr.,Desarrollador Front End Sr.,ProHiring,"Monterrey, N. L.•Remoto",hace 14 días,"Licenciatura y/o Ingeniería en Sistemas, Multimedia, y/o Ciencias Computacionales.
Programar, cambiar y mantener un sitio web.","$35,500 - $46,000 al mes",3.8
Desarrollador Jr.,Desarrollador Jr.,SERVICIOS TECNICOS DE COBRANZA,"Miguel Hidalgo, CDMX",hace 19 días,"Conocimientos básicos: C# y SQL Server y ASP.
Disponibilidad de laborar en turno completo.
Plan de carrera y crecimiento interno.","$7,500 - $10,000 al mes",4.5
Desarrollador Jr.,Consultor ABAP Jr,PortoMX,"Tlalpan, CDMX",hace 2 días,Consultori?a de Tecnologi?as de la Informacio?n Solicita: Desarrollador ABAP Grupo Salinas Trabajo de Lunes a Viernes trabajo Fi?sica en oficina Zona La…,"$30,000 - $33,000 al mes",3.8
Desarrollador Jr.,Desarrollador Microservicios Jr Grupo Salinas,PortoMX,"Tlalpan, CDMX",hace 8 días,"Java, . Net, Microservicios(Spring, Quarkus,.","$30,000 - $32,000 al mes",4.2
Desarrollador Jr.,Desarrollador Web Jr,Villa Group,"Puerto Vallarta, Jal.",hace 10 días,"Responsable de la programación de aplicaciones y sitios web utilizando lenguajes como ASP.
NET, C #, SQL, LINQ, HTML, CSS, JS, VueJS, Bootstrap, etc.; según se…","$9,000 - $10,000 al mes",2.4
Desarrollador Jr.,DESARROLLADOR DE SOFTWARE JR. (.NET),"VOBLAKYE, S DE RL DE CV","Guadalajara, Jal.•Remoto temporalmente",hace 2 días,"Ingeniería en Sistemas o afín.
Trabajo bajo presión, comunicación efectiva y rápido aprendizaje de procesos.","$10,000 al mes",5
Desarrollador Jr.,Desarrollador Jr.,T7 Group,"Álvaro Obregón, CDMX",hace 9 días,"1 año en manejo y desarrollo con bases de datos y programación Fullstack.
JAVA, HTML, JavaScript, jQuery, CCSS, Scripting, PL/SQL y Perl, PHP, Shell Scripting.","$15,000 - $30,000 al mes",3.7
Desarrollador Jr.,Desarrollador JR (Sistemas y Soporte Tecnico),GRUAS RUIZ DE SAN JUAN SA DE CV,"Querétaro, Qro.",hace 2 días,"Grúas Ruíz de San Juan S.A. de C.V. es una empresa líder en el ramo, 100% mexicana y con muchos años de historias de éxito operando sus grúas con la tecnología…","$10,000 - $12,500 al mes",3
Desarrollador Jr.,"Desarrollador React Js, Jr. 100% home office",DYNAMIC SOLUTIONS,"Zapopan, Jal.•Remoto",hace 30+ días,"*escolaridad: * Lic. ó Ing. en sistemas de cómputo, informática.
*conocimientos: *consumo de Api´s, manejo de Git, html + Css.
API's (consumo o desarrollo).","$12,000 - $15,000 al mes",
Desarrollador Jr.,Desarrollador Jr,Irox IT,"León, Gto.•Remoto temporalmente",hace 30+ días,"Backend y Frontend con C# asp.net, angular, vuejs y alguna otra tecnología de frontend, bd SQL.
Prestaciones de ley y superiores.","$12,000 - $15,000 al mes",
Desarrollador Jr.,Desarrollador Web Jr,Skyangel,"Cuauhtémoc, CDMX•Remoto temporalmente",hace 15 días,"Skyangel*, empresa líder en monitoreo y rastreo satelital te está buscando.
ING. EN SISTEMAS, COMPUTACIÓN O FIN.
DESARROLLO CON HTML Y JAVASCRIP.","$18,000 al mes",
Desarrollador Jr.,Desarrollador de Software Inteligencia Artificial JR,BADAK Soluciones de TI,"Cuauhtémoc, CDMX",hace 3 días,"Badak es una importante compañía de tecnología, la cual busca miembros talentosos, apasionados y comprometidos.
Nivel medio-avanzado en Python.","$10,000 - $12,000 al mes",
