Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador Moviles,Desarrollador React Native,Cantera Digital,"Morelia, Mich.•Remoto",hace 3 días,"*Ingeniería* en sistemas computacionales o afín.
*Indispensable *idioma inglés al 100%.
Plan de carrera y desarrollo en Cantera Digital.","$30,000 al mes",3.8
Desarrollador Moviles,Soporte IT,FORZA transportation services inc.,"Nuevo Laredo, Tamps.",hace 8 días,"Buen conocimiento de sistemas informáticos, dispositivos móviles y otros productos técnicos.
Familiaridad con aplicaciones de escritorio remotas y software de…","$18,000 al mes",3.8
Desarrollador Moviles,DESARROLLADOR DE SOFTWARE JR. (.NET),"VOBLAKYE, S DE RL DE CV","Guadalajara, Jal.•Remoto temporalmente",hace 2 días,"Ingeniería en Sistemas o afín.
Trabajo bajo presión, comunicación efectiva y rápido aprendizaje de procesos.","$10,000 al mes",4.4
Desarrollador Moviles,Desarrollador Movil,INCEPTIO,"León, Gto.•Remoto temporalmente",hace 3 días,"Recién egresados y hasta 2 años de experiencia en desarrollo móvil.
Ingeniería en Sistemas Computacionales, Ingeniería de Software, Ingeniería en Computación.","$12,000 - $13,000 al mes",4.4
Desarrollador Moviles,Desarrollador web Tacna/ Harmony (Parq. Ind. Potros),Tacna/Harmony,"Tijuana, B.C.",hace 2 días,"Emplear técnicas de programación adecuadas para la ejecución de los diseños UI/UX \* Usar multiples tecnologías front end desde vanilla Javascript, HTML5, CSS,…","$20,000 - $28,000 al mes",3.9
Desarrollador Moviles,Desarrollador Web .NET con React,TRANSMAQUILA SA DE CV,"Matamoros, Tamps.•Remoto",hace 13 días,"Desarrollo de aplicaciones moviles (Android, IOS).
Mas de 1 año trabajando con .NET.
NET MVC 4 o ASP .
Conocimiento de base de datos SQL Server O My SQL.","$20,000 - $30,000 al mes",3.2
Desarrollador Moviles,Diseñador UX,Phinder,"Coyoacán, CDMX",hace 4 días,"Experiencia en diseño de usuario para aplicaciones de software, web o móviles.
Diseñar wireframes conceptuales, maquetas de alta fidelidad.","$25,000 al mes",4.4
Desarrollador Moviles,Desarrollador de aplicaciones,Cybolt,"Naucalpan, Méx.•Remoto temporalmente",hace 30+ días,"Experiencia de 3 a 4 años desarrollando aplicaciones para Android e IOS.
Licenciatura en sistemas o informática.
Ing´les intermedio/avanzado.","$18,000 al mes",4.4
Desarrollador Moviles,Desarrollador de APP WEB,PUNTO PEN,"Cuauhtémoc, CDMX•Remoto",hace 21 días,"Diseño, desarrollo y planeación de aplicaciones Android y iOS.
Escolaridad: *Sistemas Computacionales, Informática o afín (pasante o titulado).*.","$15,000 - $18,000 al mes",
Desarrollador Moviles,Desarrollador Móvil - Indispensable dominio de Android Nativ...,CONCREDITO,"Tepic, Nay.+17 ubicaciones",hace 20 días,"Programación de aplicaciones móviles con Android nativo más Java.
Desarrollo mediante arquitectura de software MVC o MVVM.
Análisis y diseño de software.","$16,000 al mes",
Desarrollador Moviles,JD – Vue.JS / React.JS,GESDES Desarrollo y gestión de aplicaciones...,"Puebla, Pue.+4 ubicaciones",hace 1 día,"Desarrollador iOS con +3 años de Experiencia utilizando Swift 5 to develop iOS App.
Conocimiento expert el el uso de Xcode11+.
RoR) y REST API development.","$30,000 - $35,000 al mes",
