Perfil,Vacantes_name,Vacantes_Empresa,Vacantes_Lugar,Vacantes_Fecha,Vacantes_Descripcion,Vacantes_Sueldo,Vacantes_Estrellas
Desarrollador.NET,Desarrollador .NET,Background Consultores,"Álvaro Obregón, CDMX",hace 3 días,"Experiencia de 3 años en C#, MVC (Framework 4.6 en adelante).
Conocimientos en retail o delivery.
Experiencia en el desarrollo de requerimientos cubriendo todo…
hace 3 días·más...","$30,000 - $35,000 al mes",3.4
Desarrollador.NET,Desarrollador .Net Sr,Branchbit,"Tlalpan, CDMX",hace 21 días,"¡FORMA PARTE DE NUESTRO EQUIPO BRANCHBIT! Te estamos buscando Desarrollador .Net Sr. Zona a Laborar: Torre GS - Periférico Sur 4277, Jardines de la Montaña…
hace 21 días·más...","$25,000 - $30,000 al mes",4.3
Desarrollador.NET,Desarrollador Visual Basic,CodersLink,Remoto,hace 14 días,"¡Estamos buscando a un desarrollador especialista en Visual Basic!*.
Trabajarás con el equipo de ingenieros para dar mantenimiento a la data y las herramientas…
hace 14 días·más...","$40,000 - $50,000 al mes",4.3
Desarrollador.NET,Desarrollador junior,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 20 días,"I ngeniería, Licenciatura en Matemáticas Aplicadas, en Computación, Informática o área afín, titulado o pasante o con experiencia de al menos dos años en el…
hace 20 días·más...","$20,000 - $25,000 al mes",4.2
Desarrollador.NET,Líder de Testing Senior,GTA Telecom de México,Remoto,hace 24 días,"Ser el punto de contacto entre los desarrolladores y los probadores.
Net y familiarizado con el framework de prueba Cypress.
hace 24 días·más...","$50,000 - $60,000 al mes",3.8
Desarrollador.NET,Desarrollador,Murguía Consultores,"Álvaro Obregón, CDMX",hace 12 días,"1 Manejo de base de datos SQL Server, vistas stored procedures.
3 Desarrollo y consumo de servicio web (rest soap).
HTML5, CSS3, JS (medio-avanzado).
hace 12 días·más...","$25,000 - $30,000 al mes",4.5
Desarrollador.NET,Desarrolladora Semi SR,Grupo Orsa,"Miguel Hidalgo, CDMX",hace 14 días,"I ngeniería, Licenciatura , en Computación, Informática o área afín, titulado o pasante o con experiencia de al menos 3 años.
hace 14 días·más...","$25,000 - $30,000 al mes",3.6
Desarrollador.NET,Desarrollador .Net Core,Grupo CSI,"Iztapalapa, CDMX",hace 30+ días,"Título o Cédula Profesional o Certificado de estudios que avale el total de las materias de la licenciatura o ingeniería 100% Créditos.
hace 30+ días·más...","$30,000 - $35,000 al mes",4.2
Desarrollador.NET,Desarollador .Net,Estrategia Tecnologica,"Benito Juárez, CDMX",hace 30+ días,"Experiencia en Framework: Net Core (deseable).
Experiencia realizando consultas, Queries, Stored Procedures.
Días a laborar mixto, unos días en casa y otros en…
hace 30+ días·más...","$15,000 - $20,000 al mes",4.1
Desarrollador.NET,"Programadores .Net, Java, J Fullstack para desarrollar",IO Connect Services,"Zapopan, Jal.",hace 30+ días,"Net, Java, Javascript y te gustaría llevar tu carrera al siguiente nivel?
IO Connect está buscando ""Programadores"" para desarrollarse en AWS y MuleSoft.
hace 30+ días·más...","$25,000 - $30,000 al mes",3.8
Desarrollador.NET,Desarrollador de Software Junior Bilingüe,Manpower Mexico,"Mérida, Yuc.",hace 23 días,"Desarrollo, mantenimiento, diseño e implementación de conceptos de solución innovadores.
Ingeniería en Sistemas computacionales, Informática o afín.
hace 23 días·más...","$22,000 - $25,000 al mes",3.3
Desarrollador.NET,Desarrollador Sr.,Beneficia,"Colonia del Valle, CDMX",hace 30+ días,"SQL SERVER 2005,2008 (transact-SQL).
Windowns Server 2003 y/o 2008 (no administración).
hace 30+ días·más...","$20,000 al mes",4.2
Desarrollador.NET,Desarrollador.net,Gepae,Ciudad de México,hace 15 días,"Requisitos: Escolaridad: Licenciatura Idioma: Español Días a laborar: Lunes a viernes Horario: 09:00:00 a 18:00:00 Área: Informática/ Internet/ Web…
hace 15 días·más...","$20,000 al mes",4.6
Desarrollador.NET,Desarrollador .Net Jr.,Human Capital Resources,"Colonia Lomas de Chapultepec, CDMX",hace 27 días,"10 días de Aguinaldo y 30 días Aguinaldo.
SQL Server (manejo de sps, funciones, optimizaciones, etc.).
SQL (Jobs, triggers y principios de tunning).
hace 27 días·más...","$15,000 - $18,000 al mes",3.5
Desarrollador.NET,.Net con Visual Basic,Estrategia Tecnologica,"Benito Juárez, CDMX",hace 30+ días,"Consultoría TI solicita: Desarrollador .Net Requisitos: Escolaridad: Ingeniería en comunicaciones o afín Experiencia: Visual Basic .NET versión 4.5 en…
hace 30+ días·más...","$15,000 - $20,000 al mes",3.8
Desarrollador.NET,DESARROLLADORES .NET,PM SOLUCIONES,"Benito Juárez, CDMX",hace 30+ días,"Motor de base de datos SQL Server y MySQL.
HTML,CSS, Boostrap y TypeScript.
hace 30+ días·más...","$30,000 - $35,000 al mes",3.8
